Invoice ID,Date,Vendor,Department,Amount,Status
INV-5001,2025-01-02, Acme SaaS,Customer Success,2059.38,Disputed
INV-5002,2025-01-19,INITECH CONSULTING,Sales,"$6,272.19",Paid
INV-5003,2025-01-06,Hooli Ads,Customer Success,11914.39,Paid
INV-5004,2025-01-06,Wayne Logistics,Sales,7535.06,Paid
INV-5005,2025-01-07, Soylent Catering,R&D,"$4,717.72",Disputed
INV-5006,2025-01-02,Wayne Logistics,Sales,5789.05,Disputed
INV-5007,2025-01-25,GLOBEX TRAVEL,Customer Success,"$6,540.54",Pending
INV-5008,2025-01-16, Wayne Logistics,Customer Success,5233.13,Pending
INV-5009,2025-01-16,Stark Events,Customer Success,"$1,307.95",Paid
INV-5010,2025-01-24,Globex Travel,R&D,"$3,204.99",Paid
INV-5011,2025-01-12,Globex Travel,Sales,"$8,300.04",Paid
INV-5012,2025-01-12,Initech Consulting,Operations,"$10,281.48",Disputed
INV-5013,2025-01-16,Hooli Ads,Sales,5046.75,Paid
INV-5014,2025-01-13,Stark Events,Operations,6995.17,Paid
INV-5015,2025-01-26,Globex Travel,Sales,1338.30,Paid
INV-5016,2025-01-16,Acme SaaS,Marketing,9681.78,Disputed
INV-5017,2025-01-13,WAYNE LOGISTICS,Operations,"$1,098.47",Pending
INV-5018,2025-01-07,Hooli Ads,Sales,"$7,737.45",Disputed
INV-5019,2025-01-06,Hooli Ads,Customer Success,"$6,262.39",Paid
INV-5020,2025-01-13, Stark Events,Sales,"$1,179.09",Paid
INV-5021,2025-01-03,Wayne Logistics,Marketing,"$8,882.57",Disputed
INV-5022,2025-01-09,Hooli Ads,Customer Success,4274.93,Paid
INV-5023,2025-01-04,Umbrella Supply,Marketing,"$3,244.12",Disputed
INV-5024,2025-01-18,Globex Travel,Marketing,9664.87,Disputed
INV-5025,2025-01-11,Hooli Ads,Customer Success,"$5,881.01",Pending
INV-5026,2025-01-21,Soylent Catering,R&D,"$1,527.78",Paid
INV-5027,2025-01-27,Umbrella Supply,Operations,"$6,270.57",Paid
INV-5028,2025-01-16,Umbrella Supply,Operations,1050.94,Paid
INV-5029,2025-01-07,Stark Events,Sales,11373.35,Pending
INV-5030,2025-01-08,Umbrella Supply,Operations,"$2,600.33",Disputed
INV-5031,2025-01-20, Stark Events,Marketing,8158.37,Paid
INV-5032,2025-01-19,Acme SaaS,Operations,5984.23,Paid
INV-5033,2025-01-19,Soylent Catering,Customer Success,"$3,471.16",Paid
INV-5034,2025-01-28,Acme SaaS,Customer Success,$535.87,Paid
INV-5035,2025-01-22,Soylent Catering,R&D,"$3,890.47",Paid
INV-5036,2025-01-09,Wayne Logistics,Customer Success,"$10,362.83",Paid
INV-5037,2025-01-14,Hooli Ads,Operations,"$2,329.38",Paid
INV-5038,2025-01-22,Stark Events,Sales,6921.21,Paid
INV-5039,2025-01-05,Globex Travel,Customer Success,"$5,271.79",Paid
INV-5040,2025-01-21,Soylent Catering,R&D,1743.49,Disputed
INV-5041,2025-01-04,Stark Events,Customer Success,"$10,323.25",Paid
INV-5042,2025-01-12,Acme SaaS,Marketing,"$5,480.78",Paid
INV-5043,2025-01-07,Hooli Ads,Operations,10428.32,Disputed
INV-5044,2025-01-24,Initech Consulting,Operations,"$8,127.34",Pending
INV-5045,2025-01-11,Globex Travel,Sales,10438.85,Pending
INV-5046,2025-01-21, Wayne Logistics,Sales,"$4,221.96",Paid
INV-5047,2025-01-24,Hooli Ads,R&D,9404.54,Disputed
INV-5048,2025-01-09,Soylent Catering,Marketing,"$1,631.72",Paid
INV-5049,2025-01-02, Umbrella Supply,Marketing,"$11,251.00",Paid
INV-5050,2025-01-21,Wayne Logistics,Marketing,"$3,260.06",Pending
INV-5051,2025-01-27,Hooli Ads,R&D,"$7,573.80",Paid
INV-5052,2025-01-28,ACME SAAS,Operations,"$10,391.26",Disputed
INV-5053,2025-01-21, Hooli Ads,Customer Success,2247.88,Disputed
INV-5054,2025-01-08,Wayne Logistics,Operations,"$10,920.74",Paid
INV-5055,2025-01-27,Soylent Catering,Sales,"$3,747.34",Paid
INV-5056,2025-01-01,Stark Events,R&D,"$11,371.45",Pending
INV-5057,2025-01-18,Hooli Ads,Customer Success,"$4,577.68",Pending
INV-5058,2025-01-03,Wayne Logistics,R&D,"$9,966.86",Pending
INV-5059,2025-01-10,Umbrella Supply,Customer Success,9719.76,Disputed
INV-5060,2025-01-15,Hooli Ads,Sales,"$1,768.99",Disputed
INV-5061,2025-01-18,Soylent Catering,Sales,"$3,949.63",Paid
INV-5062,2025-01-08,Initech Consulting,Sales,8625.07,Paid
INV-5063,2025-01-12,INITECH CONSULTING,R&D,3842.18,Pending
INV-5064,2025-01-03,Acme SaaS,Sales,814.05,Disputed
INV-5065,2025-01-04,Soylent Catering,Operations,9834.42,Paid
INV-5066,2025-01-04,Wayne Logistics,Marketing,2510.28,Disputed
INV-5067,2025-01-24,Umbrella Supply,Operations,"$11,244.15",Paid
INV-5068,2025-01-22,Globex Travel,Sales,"$4,421.06",Paid
