Campaign ID,Date,Channel,Spend,Clicks,Conversions
CMP-501,2025-01-09,Banner,2719.38,3966,6
CMP-502,2025-01-01,Paid Search,7872.98,5427,82
CMP-503,2025-01-15,Social Media,2710.81,757,60
CMP-504,2025-01-17,display,"$1,159.25",974,84
CMP-505,2025-01-25,Banner,"$7,428.82",8753,815
CMP-506,2025-01-15,Social,"$2,365.67",3255,60
CMP-507,2025-01-12,social,337.66,568,3
CMP-508,2025-01-04,social,"$7,606.72",945,78
CMP-509,2025-01-12,Search,3238.69,7428,38
CMP-510,2025-01-07,Paid Search,"$7,407.12",4047,138
CMP-511,2025-01-19,Display,"$4,094.45",5629,555
CMP-512,2025-01-11,Display,"$3,086.42",8863,366
CMP-513,2025-01-10,Email,665.89,4214,23
CMP-514,2025-01-17,E-mail,"$2,423.40",3037,273
CMP-515,2025-01-11,display,"$3,397.42",8124,95
CMP-516,2025-01-04,Email,1989.68,7246,285
CMP-517,2025-01-28,email,"$7,583.03",4484,318
CMP-518,2025-01-10,E-mail,"$6,839.58",1405,71
CMP-519,2025-01-13,email,7763.31,5771,55
CMP-520,2025-01-04,social,3312.17,133,4
CMP-521,2025-01-12,search,2435.96,7982,151
CMP-522,2025-01-28,Banner,4105.92,4569,219
CMP-523,2025-01-09,E-mail,2356.47,2194,35
CMP-524,2025-01-14,Display,6888.85,3756,11
CMP-525,2025-01-24,search,5596.88,4164,123
CMP-526,2025-01-08,Social Media,683.98,1196,7
CMP-527,2025-01-15,Display,7059.58,7682,400
CMP-528,2025-01-12,Social,347.54,3926,166
CMP-529,2025-01-10,Paid Search,"$4,452.00",404,40
CMP-530,2025-01-07,email,"$5,595.05",5163,380
CMP-531,2025-01-02,Social,1243.92,2339,59
CMP-532,2025-01-10,search,5187.70,7326,658
CMP-533,2025-01-23,Search,"$5,370.17",3015,89
CMP-534,2025-01-02,Display,"$7,193.29",111,10
CMP-535,2025-01-08,Display,251.73,3017,203
CMP-536,2025-01-24,Email,$411.05,4549,319
CMP-537,2025-01-24,display,"$5,620.12",4404,157
CMP-538,2025-01-21,Paid Search,6845.63,4707,100
