Campaign ID,Date,Channel,Spend,Clicks,Conversions
CMP-582,12-Mar-2025,Banner,$523.19,1478,52
CMP-583,16-Mar-2025,Display,"$5,277.29",2464,67
CMP-584,07-Mar-2025,Social,"$7,193.18",3490,73
CMP-585,04-Mar-2025,Email,3366.91,4837,44
CMP-586,05-Mar-2025,Social,"$3,451.61",432,38
CMP-587,05-Mar-2025,search,"$6,554.95",3661,317
CMP-588,05-Mar-2025,Social Media,"$6,067.45",3617,104
CMP-589,10-Mar-2025,email,"$3,057.94",6136,191
CMP-590,02-Mar-2025,E-mail,"$5,813.59",2958,166
CMP-591,27-Mar-2025,Social Media,2890.37,1363,115
CMP-592,12-Mar-2025,search,"$3,984.66",8600,0
CMP-593,26-Mar-2025,Email,"$3,082.23",7785,374
CMP-594,09-Mar-2025,Display,"$3,361.34",6779,14
CMP-595,07-Mar-2025,search,"$7,768.41",411,40
CMP-596,16-Mar-2025,Email,"$5,852.26",7937,92
CMP-597,24-Mar-2025,Paid Search,"$5,391.85",7343,467
CMP-598,20-Mar-2025,Banner,6350.02,5886,65
CMP-599,13-Mar-2025,Display,"$5,572.75",7255,555
CMP-600,11-Mar-2025,E-mail,"$7,446.14",7605,131
CMP-601,09-Mar-2025,Search,"$5,976.80",7399,651
CMP-602,23-Mar-2025,social,3453.18,6127,219
CMP-603,06-Mar-2025,Search,"$4,337.70",8799,718
CMP-604,07-Mar-2025,search,$659.76,1549,105
CMP-605,24-Mar-2025,search,"$6,763.00",3160,287
CMP-606,18-Mar-2025,Paid Search,"$2,508.38",942,67
CMP-607,20-Mar-2025,email,"$6,666.03",4716,249
CMP-608,09-Mar-2025,E-mail,"$1,706.84",1479,2
CMP-609,05-Mar-2025,Banner,"$1,052.55",2573,193
CMP-610,04-Mar-2025,social,4740.74,7357,361
CMP-611,17-Mar-2025,Search,7034.70,7839,766
CMP-612,18-Mar-2025,email,1270.83,482,9
CMP-613,28-Mar-2025,Paid Search,"$2,142.27",2355,234
CMP-614,02-Mar-2025,email,6558.86,622,52
CMP-615,28-Mar-2025,Banner,"$3,163.65",1820,114
