Txn ID,Date,Store,Category,Amount,Channel
TXN-7072,2/5/2025,Lakeview,Apparel,451.28,In-store
TXN-7073,2/19/2025,Oakwood,Apparel,416.08,Online
TXN-7074,2/19/2025,Downtown,Home,54.45,In-store
TXN-7075,2/28/2025,Downtown,Footwear,47.71,In-store
TXN-7076,2/16/2025,Riverside,Home,$283.58,Online
TXN-7077,2/16/2025,Downtown,Footwear,214.77,Online
TXN-7078,2/10/2025,Downtown,Footwear,$245.79,In-store
TXN-7079,2/4/2025, Lakeview,Home,$274.01,Online
TXN-7080,2/8/2025,Lakeview,Footwear,$140.45,Online
TXN-7081,2/7/2025,LAKEVIEW,Accessories,$172.33,In-store
TXN-7082,2/6/2025,Hilltop,Home,546.88,Online
TXN-7083,2/7/2025,Hilltop,Home,$207.27,In-store
TXN-7084,2/8/2025,Riverside,Accessories,$390.17,Online
TXN-7085,2/25/2025,Lakeview,Apparel,$361.83,In-store
TXN-7086,2/23/2025,LAKEVIEW,Footwear,29.45,Online
TXN-7087,2/26/2025,Riverside,Footwear,62.89,In-store
TXN-7088,2/23/2025,Midtown,Accessories,$162.65,In-store
TXN-7089,2/12/2025,Lakeview,Home,$610.15,In-store
TXN-7090,2/8/2025,Oakwood,Home,435.21,In-store
TXN-7091,2/24/2025,Lakeview,Footwear,92.60,Online
TXN-7092,2/5/2025, Riverside,Apparel,291.34,In-store
TXN-7093,2/9/2025,Lakeview,Footwear,379.20,In-store
TXN-7094,2/10/2025,Lakeview,Apparel,545.59,In-store
TXN-7095,2/11/2025,Downtown,Apparel,$449.07,In-store
TXN-7096,2/24/2025,Riverside,Apparel,$457.65,Online
TXN-7097,2/11/2025,Midtown,Apparel,$616.21,Online
TXN-7098,2/22/2025,Oakwood,Home,$446.25,In-store
TXN-7099,2/26/2025,Midtown,Home,47.53,In-store
TXN-7100,2/12/2025,Midtown,Footwear,$177.30,Online
TXN-7101,2/22/2025,Hilltop,Accessories,106.03,In-store
TXN-7102,2/10/2025,Lakeview,Home,$609.58,In-store
TXN-7103,2/14/2025, Riverside,Footwear,$416.52,Online
TXN-7104,2/10/2025,Riverside,Home,$543.64,Online
TXN-7105,2/10/2025,Downtown,Apparel,$211.46,Online
TXN-7106,2/18/2025,Lakeview,Home,$378.59,Online
TXN-7107,2/24/2025,DOWNTOWN,Home,$490.79,In-store
TXN-7108,2/1/2025,Midtown,Home,139.58,Online
TXN-7109,2/1/2025,Hilltop,Accessories,69.23,In-store
TXN-7110,2/10/2025,Lakeview,Footwear,84.37,In-store
TXN-7111,2/12/2025,Oakwood,Accessories,$165.04,Online
TXN-7112,2/16/2025, Hilltop,Home,$615.31,In-store
TXN-7113,2/15/2025,Oakwood,Apparel,$453.43,In-store
TXN-7114,2/12/2025, Oakwood,Apparel,$322.02,Online
TXN-7115,2/17/2025,DOWNTOWN,Home,198.45,In-store
TXN-7116,2/24/2025,Oakwood,Home,439.65,In-store
TXN-7117,2/17/2025, Riverside,Accessories,315.37,In-store
TXN-7118,2/26/2025,Lakeview,Footwear,625.95,Online
TXN-7119,2/21/2025,Downtown,Accessories,$620.27,Online
TXN-7120,2/23/2025,Riverside,Apparel,160.16,In-store
TXN-7121,2/13/2025,DOWNTOWN,Home,353.89,Online
TXN-7122,2/21/2025,HILLTOP,Footwear,159.39,In-store
TXN-7123,2/19/2025,Downtown,Home,$369.03,In-store
TXN-7124,2/5/2025,OAKWOOD,Apparel,448.08,Online
TXN-7125,2/18/2025,Midtown,Apparel,309.79,In-store
TXN-7126,2/2/2025,Riverside,Home,106.19,In-store
TXN-7127,2/5/2025,Lakeview,Apparel,$309.61,In-store
TXN-7128,2/6/2025, Lakeview,Footwear,598.03,In-store
TXN-7129,2/24/2025,Hilltop,Apparel,$97.32,Online
TXN-7130,2/26/2025,Midtown,Apparel,82.78,Online
TXN-7131,2/1/2025,MIDTOWN,Footwear,243.24,Online
TXN-7132,2/5/2025,Midtown,Home,$66.47,In-store
TXN-7133,2/23/2025,Midtown,Home,$390.64,In-store
TXN-7134,2/2/2025, Hilltop,Accessories,$326.92,In-store
TXN-7135,2/15/2025,DOWNTOWN,Home,629.54,Online
TXN-7136,2/5/2025,Lakeview,Apparel,$227.44,Online
TXN-7137,2/12/2025,Midtown,Accessories,$228.76,Online
TXN-7138,2/20/2025,HILLTOP,Accessories,$32.92,In-store
TXN-7139,2/9/2025,Downtown,Footwear,$262.19,Online
TXN-7140,2/4/2025,Hilltop,Footwear,596.48,In-store
TXN-7141,2/8/2025,Riverside,Apparel,518.90,Online
TXN-7142,2/12/2025,Riverside,Accessories,340.61,Online
TXN-7143,2/17/2025,Midtown,Accessories,576.71,Online
TXN-7144,2/28/2025,Hilltop,Accessories,$105.44,In-store
TXN-7145,2/24/2025,Oakwood,Accessories,$389.68,In-store
TXN-7146,2/3/2025,Hilltop,Accessories,600.37,In-store
