Txn ID,Date,Store,Category,Amount,Channel
TXN-7147,24-Mar-2025,Riverside,Home,631.45,Online
TXN-7148,25-Mar-2025,Downtown,Footwear,585.57,Online
TXN-7149,20-Mar-2025,Riverside,Apparel,$50.05,In-store
TXN-7150,20-Mar-2025,Hilltop,Footwear,482.35,In-store
TXN-7151,21-Mar-2025,DOWNTOWN,Accessories,$23.18,In-store
TXN-7152,21-Mar-2025,Downtown,Footwear,225.85,Online
TXN-7153,02-Mar-2025,Lakeview,Accessories,$56.19,In-store
TXN-7154,01-Mar-2025,Downtown,Home,$181.92,Online
TXN-7155,27-Mar-2025,Downtown,Accessories,281.54,In-store
TXN-7156,12-Mar-2025, Hilltop,Footwear,353.57,In-store
TXN-7157,27-Mar-2025,Hilltop,Footwear,164.90,Online
TXN-7158,17-Mar-2025, Oakwood,Accessories,$372.36,Online
TXN-7159,12-Mar-2025, HILLTOP,Home,432.88,In-store
TXN-7160,18-Mar-2025,Riverside,Apparel,$413.52,In-store
TXN-7161,28-Mar-2025,Midtown,Accessories,484.69,Online
TXN-7162,28-Mar-2025,Oakwood,Apparel,$510.21,Online
TXN-7163,01-Mar-2025,Lakeview,Home,153.62,Online
TXN-7164,14-Mar-2025, Downtown,Home,57.79,Online
TXN-7165,14-Mar-2025,Lakeview,Footwear,$178.72,In-store
TXN-7166,07-Mar-2025,Riverside,Home,208.03,Online
TXN-7167,11-Mar-2025,Midtown,Accessories,$538.38,In-store
TXN-7168,15-Mar-2025,Downtown,Footwear,450.15,Online
TXN-7169,15-Mar-2025,Riverside,Footwear,49.10,Online
TXN-7170,01-Mar-2025, Riverside,Accessories,$527.16,In-store
TXN-7171,13-Mar-2025,Riverside,Accessories,$493.32,In-store
TXN-7172,08-Mar-2025,Downtown,Home,$637.18,Online
TXN-7173,14-Mar-2025,Riverside,Apparel,$338.01,In-store
TXN-7174,16-Mar-2025, OAKWOOD,Accessories,$573.50,In-store
TXN-7175,04-Mar-2025, Riverside,Footwear,418.92,In-store
TXN-7176,08-Mar-2025,Midtown,Apparel,631.41,Online
TXN-7177,07-Mar-2025,OAKWOOD,Apparel,189.47,Online
TXN-7178,21-Mar-2025,MIDTOWN,Accessories,26.67,Online
TXN-7179,14-Mar-2025,Lakeview,Home,$271.55,Online
TXN-7180,21-Mar-2025,Lakeview,Home,526.36,Online
TXN-7181,22-Mar-2025,Downtown,Accessories,644.34,Online
TXN-7182,22-Mar-2025,DOWNTOWN,Apparel,275.67,In-store
TXN-7183,16-Mar-2025,Oakwood,Home,318.29,In-store
TXN-7184,28-Mar-2025,Midtown,Home,539.74,In-store
TXN-7185,22-Mar-2025, Lakeview,Accessories,65.36,Online
TXN-7186,19-Mar-2025,Riverside,Accessories,$560.35,Online
TXN-7187,27-Mar-2025,Lakeview,Apparel,350.08,Online
TXN-7188,21-Mar-2025,Hilltop,Home,423.53,In-store
TXN-7189,13-Mar-2025,Downtown,Home,278.32,In-store
TXN-7190,10-Mar-2025,Downtown,Accessories,$437.21,Online
TXN-7191,22-Mar-2025,Lakeview,Home,$498.05,In-store
TXN-7192,09-Mar-2025,Riverside,Footwear,349.73,Online
TXN-7193,18-Mar-2025, Downtown,Accessories,$392.07,In-store
TXN-7194,28-Mar-2025,Hilltop,Accessories,77.54,Online
TXN-7195,13-Mar-2025,Downtown,Accessories,599.93,Online
TXN-7196,12-Mar-2025,HILLTOP,Home,428.36,Online
TXN-7197,28-Mar-2025,Riverside,Footwear,$59.91,Online
TXN-7198,25-Mar-2025,DOWNTOWN,Home,332.86,Online
TXN-7199,03-Mar-2025,DOWNTOWN,Home,$281.38,Online
TXN-7200,02-Mar-2025, Lakeview,Apparel,$486.48,In-store
TXN-7201,03-Mar-2025,Oakwood,Home,$94.42,Online
TXN-7202,22-Mar-2025, Midtown,Apparel,$375.58,In-store
TXN-7203,14-Mar-2025,Riverside,Apparel,$551.48,Online
TXN-7204,18-Mar-2025, Downtown,Accessories,$346.48,In-store
TXN-7205,13-Mar-2025, Hilltop,Home,$438.29,Online
TXN-7206,14-Mar-2025,Midtown,Accessories,$176.57,Online
TXN-7207,15-Mar-2025,Midtown,Apparel,$358.21,In-store
TXN-7208,18-Mar-2025,Oakwood,Accessories,146.17,Online
TXN-7209,02-Mar-2025,OAKWOOD,Apparel,619.39,Online
TXN-7210,15-Mar-2025,Hilltop,Footwear,525.55,In-store
TXN-7211,04-Mar-2025,Lakeview,Footwear,133.48,In-store
TXN-7212,24-Mar-2025,DOWNTOWN,Home,28.94,In-store
TXN-7213,25-Mar-2025,Riverside,Accessories,$356.70,In-store
TXN-7214,14-Mar-2025, Oakwood,Apparel,514.08,In-store
TXN-7215,23-Mar-2025,Riverside,Home,$117.55,Online
TXN-7216,23-Mar-2025,RIVERSIDE,Accessories,571.07,In-store
TXN-7217,26-Mar-2025,Midtown,Accessories,$365.70,Online
TXN-7218,08-Mar-2025,Oakwood,Apparel,259.38,Online
TXN-7219,22-Mar-2025, Oakwood,Home,$478.79,In-store
TXN-7220,17-Mar-2025,LAKEVIEW,Apparel,647.56,In-store
TXN-7221,10-Mar-2025,Downtown,Home,$146.32,In-store
TXN-7222,25-Mar-2025,Midtown,Footwear,316.39,In-store
TXN-7223,22-Mar-2025,Riverside,Apparel,236.91,In-store
TXN-7224,06-Mar-2025,HILLTOP,Home,175.86,Online
