Order ID,Date,Product,Region,Units,Revenue,Channel
SO-2061,2/25/2025,Beacon Lamp,West,4,2395.66,Retail
SO-2062,2/18/2025,Fjord Table,East,4,"$1,068.49",Wholesale
SO-2063,2/1/2025,Cedar Shelf,South,15,4152.78,Wholesale
SO-2064,2/12/2025,Fjord Table,S.,2,318.20,Wholesale
SO-2065,2/15/2025,Cedar Shelf,North,4,1643.33,Retail
SO-2066,2/16/2025,Beacon Lamp,south,3,$842.62,Retail
SO-2067,2/27/2025,Cedar Shelf,N.,14,"$4,156.85",Retail
SO-2068,2/6/2025,Echo Desk,west,12,"$1,416.51",Retail
SO-2069,2/10/2025,Beacon Lamp,West,1,475.44,Wholesale
SO-2070,2/25/2025,Delta Chair,south,4,2108.51,Retail
SO-2071,2/11/2025,Fjord Table,North,6,"$3,319.09",Retail
SO-2072,2/3/2025,Cedar Shelf,W.,11,3199.31,Retail
SO-2073,2/4/2025,Aurora Lamp,E.,5,"$2,255.92",Online
SO-2074,2/5/2025,Echo Desk,East,12,2549.60,Retail
SO-2075,2/25/2025,Aurora Lamp,E.,4,"$1,311.27",Wholesale
SO-2076,2/17/2025,Delta Chair,South,11,5986.76,Retail
SO-2077,2/14/2025,Aurora Lamp,South,5,361.70,Online
SO-2078,2/17/2025,Aurora Lamp,N.,4,"$1,492.01",Wholesale
SO-2079,2/5/2025,Echo Desk,east,11,571.19,Retail
SO-2080,2/8/2025,Delta Chair,W.,11,3254.61,Retail
SO-2081,2/19/2025,Beacon Lamp,N.,15,"$4,421.56",Wholesale
SO-2082,2/9/2025,Fjord Table,north,8,"$1,011.69",Retail
SO-2083,2/7/2025,Fjord Table,east,4,"$2,320.60",Online
SO-2084,2/21/2025,Aurora Lamp,South,4,"$1,393.84",Online
SO-2085,2/7/2025,Fjord Table,West,13,1422.31,Wholesale
SO-2086,2/7/2025,Aurora Lamp,North,4,"$1,502.64",Retail
SO-2087,2/22/2025,Echo Desk,north,5,2886.76,Retail
SO-2088,2/26/2025,Delta Chair,N.,8,$527.91,Wholesale
SO-2089,2/9/2025,Delta Chair,South,15,5980.75,Retail
SO-2090,2/22/2025,Fjord Table,E.,14,"$1,845.59",Retail
SO-2091,2/10/2025,Fjord Table,east,15,"$7,330.14",Wholesale
SO-2092,2/5/2025,Aurora Lamp,west,14,6776.60,Retail
SO-2093,2/8/2025,Cedar Shelf,West,5,"$2,053.34",Online
SO-2094,2/7/2025,Cedar Shelf,W.,12,1194.39,Wholesale
SO-2095,2/14/2025,Cedar Shelf,South,8,3125.15,Online
SO-2096,2/6/2025,Aurora Lamp,W.,4,$524.50,Retail
SO-2097,2/28/2025,Aurora Lamp,S.,8,"$1,434.14",Retail
SO-2098,2/12/2025,Beacon Lamp,E.,10,"$5,434.36",Retail
SO-2099,2/10/2025,Beacon Lamp,east,15,8182.35,Wholesale
SO-2100,2/18/2025,Fjord Table,North,4,"$1,770.68",Retail
SO-2101,2/7/2025,Beacon Lamp,West,11,3999.79,Wholesale
SO-2102,2/13/2025,Fjord Table,South,14,$751.32,Online
SO-2103,2/10/2025,Delta Chair,South,11,"$5,997.73",Online
SO-2104,2/6/2025,Echo Desk,West,3,1318.03,Retail
SO-2105,2/17/2025,Aurora Lamp,West,2,$793.10,Wholesale
SO-2106,2/24/2025,Cedar Shelf,W.,5,"$1,357.56",Wholesale
SO-2107,2/9/2025,Aurora Lamp,east,1,433.02,Retail
SO-2108,2/12/2025,Fjord Table,E.,5,"$2,569.33",Wholesale
SO-2109,2/26/2025,Fjord Table,East,11,"$1,431.82",Online
SO-2110,2/17/2025,Aurora Lamp,East,3,1445.72,Online
SO-2111,2/28/2025,Aurora Lamp,North,6,2165.94,Online
SO-2112,2/24/2025,Cedar Shelf,S.,13,"$1,965.61",Retail
SO-2113,2/26/2025,Delta Chair,east,4,"$1,788.70",Retail
SO-2114,2/14/2025,Fjord Table,North,5,"$1,099.35",Online
SO-2115,2/6/2025,Aurora Lamp,west,12,5135.63,Wholesale
SO-2116,2/23/2025,Echo Desk,West,15,"$3,798.36",Wholesale
SO-2117,2/24/2025,Delta Chair,S.,15,1613.03,Online
SO-2118,2/28/2025,Cedar Shelf,S.,11,451.74,Retail
SO-2119,2/16/2025,Aurora Lamp,west,10,5235.39,Wholesale
SO-2120,2/10/2025,Cedar Shelf,S.,5,1990.24,Online
